"Experiment","Sample","Condition","Genotype","Replicate"
"Exp1","Sample1","Mock","KO","4"
"Exp1","Sample2","Treated","KO","2"
"Exp1","Sample3","Treated","KO","3"
"Exp1","Sample4","Treated","KO","4"
"Exp1","Sample5","Treated","KO","5"
"Exp1","Sample6","Treated","WT","1"
"Exp1","Sample7","Treated","WT","2"
"Exp1","Sample8","Treated","WT","3"
"Exp1","Sample9","Treated","WT","5"
"Exp1","Sample10","Treated","WT","2"
"Exp1","Sample11","Mock","KO","1"
"Exp1","Sample12","Mock","KO","2"
"Exp1","Sample13","Mock","KO","3"
"Exp1","Sample14","Mock","KO","4"
"Exp1","Sample15","Mock","KO","5"
"Exp1","Sample16","Mock","WT","1"
"Exp1","Sample17","Mock","WT","2"
"Exp1","Sample18","Mock","WT","3"
"Exp1","Sample19","Mock","WT","4"
"Exp1","Sample20","Mock","WT","5"
